id,keyword1,keyword2,abstract
001,非小细胞肺癌,靶向治疗,非小细胞肺癌中EGFR基因突变患者应用靶向药物治疗的临床疗效分析及预后评估.
002,小细胞肺癌,化疗方案,小细胞肺癌患者采用EP方案化疗联合放疗的临床疗效观察及生存质量评估.
003,肺腺癌,免疫治疗,PD-1抑制剂在晚期肺腺癌患者中的应用效果及免疫相关不良反应分析.
004,肺鳞癌,手术治疗,早期肺鳞癌患者行胸腔镜手术治疗的临床疗效及预后分析.
005,ALK阳性肺癌,分子靶向,ALK阳性非小细胞肺癌患者使用克唑替尼治疗的疗效观察及耐药机制研究.
006,肺癌脑转移,放射治疗,伽马刀治疗肺癌脑转移瘤的临床疗效及预后因素分析.
007,晚期肺癌,姑息治疗,晚期肺癌患者姑息治疗的生存质量评估及疼痛管理研究.
008,肺癌早筛,影像学检查,低剂量CT在肺癌高危人群早期筛查中的应用价值及成本效益分析.
009,驱动基因突变,个体化治疗,肺癌患者驱动基因突变检测及个体化治疗方案的制定与疗效评价.
010,免疫检查点,联合治疗,免疫检查点抑制剂联合化疗在晚期肺癌治疗中的临床应用研究.
011,肺癌复发,二线治疗,复发性非小细胞肺癌二线治疗方案的选择及预后影响因素分析.
012,胸腔积液,介入治疗,恶性胸腔积液患者行胸腔镜下胸膜固定术的临床疗效观察.
013,肺癌营养,支持治疗,肺癌患者营养状况评估及营养支持治疗对预后的影响研究.
014,肺癌并发症,预防管理,肺癌患者常见并发症的预防及管理策略研究.
015,中医辨证,中西医结合,基于中医辨证论治的肺癌中西医结合治疗方案效果评价.